"decimalLatitude","decimalLongitude","value"
41.83432,-87.82813,1
44.26946,-72.56242,1
44.50697,-73.23939,1
44.26145,-72.55344,1
44.51114,-73.23964,1
44.26253,-72.55393,1
42.06631,-87.7755,1
40.60738,-80.15488,1
42.36471,-71.26095,1
40.57071,-74.76251,1
43.50009,-72.36666,1
44.25728,-72.58761,1
44.27299,-72.58078,1
41.26038,-73.45035,1
41.19153,-81.55097,1
44.26263,-72.56019,1
35.35168,-83.86203,1
44.46358,-73.1791,1
43.80143,-72.25288,1
41.38711,-81.63026,1
45.44738,-75.65229,1
44.27656,-72.5788,1
35.02513,-83.14771,1
41.19016,-81.58417,1
38.99965,-77.24865,1
40.70552,-74.05608,1
44.00333,-73.05947,1
40.70552,-74.05622,1
40.70689,-74.0542,1
44.93414,-73.0535,1
40.70689,-74.0542,1
44.00672,-73.05908,1
40.70542,-74.05623,1
44.16555,-73.14166,1
47.52138,-64.98389,1
40.70631,-74.05584,1
43.10266,-71.66948,1
38.87903,-77.09281,1
44.28566,-72.44141,1
44.00537,-73.05893,1
44.79845,-91.50402,1
44.28451,-72.568,1
43.6506,-79.46266,1
36.06815,-78.92196,1
40.70682,-74.05429,1
44.00798,-73.07483,1
44.72714,-72.1543,1
40.70682,-74.05429,1
35.84308,-79.01475,1
43.80273,-72.24969,1
40.70683,-74.05425,1
40.70684,-74.05423,1
43.70348,-72.32899,1
40.6752,-77.73171,1
44.5052,-68.80775,1
39.66628,-78.96895,1
39.6649,-78.97419,1
43.686,-72.31074,1
39.66439,-78.97374,1
39.68585,-78.00105,1
42.93158,-72.28814,1
43.95419,-70.88326,1
39.66796,-78.9678,1
42.44188,-71.14572,1
42.39766,-71.08327,1
44.05528,-70.71189,1
44.33489,-72.68966,1
39.48424,-79.09652,1
39.65563,-79.78671,1
44.76735,-71.70253,1
43.70076,-72.33421,1
39.63323,-77.45327,1
44.04668,-70.70573,1
39.65397,-78.25777,1
39.49462,-79.13688,1
39.32267,-78.79809,1
39.48371,-79.10501,1
39.38811,-79.40226,1
39.5517,-79.22374,1
39.49484,-79.13715,1
39.21991,-79.46207,1
39.25755,-79.41515,1
39.66868,-79.39928,1
39.6586,-78.97624,1
39.62589,-77.44098,1
42.20829,-71.13415,1
39.63261,-77.4472,1
39.5552,-79.45171,1
44.25548,-72.58056,1
39.66113,-78.97436,1
39.19385,-79.51802,1
44.3286,-72.68654,1
48.54701,9.08032,1
39.48184,-79.09109,1
39.64173,-78.94143,1
44.56049,-79.57316,1
44.45947,-67.93366,1
39.55664,-79.4497,1
39.55606,-79.4506,1
39.33072,-77.73508,1
43.68776,-72.33405,1
41.48214,-81.93501,1
44.00296,-71.27776,1
39.65763,-78.97731,1
39.55517,-79.45143,1
39.64623,-78.93914,1
39.66869,-79.39942,1
39.6222,-77.43856,1
43.71416,-72.34547,1
44.07376,-71.30438,1
38.76293,-76.7228,1
41.71886,-80.93241,1
39.27679,-77.39961,1
44.63638,-63.59419,1
38.26886,-76.52759,1
44.52635,-73.27124,1
44.52325,-73.27091,1
38.95063,-77.04602,1
44.31336,-72.70611,1
44.44977,-73.0355,1
40.47458,-74.41914,1
40.47512,-74.43818,1
43.56497,-72.3832,1
39.26626,-76.68177,1
52.1293,4.38971,1
44.3222,-72.49898,1
44.8768,-73.3017,1
43.38907,-72.40716,1
43.56498,-72.38318,1
52.13588,6.12078,1
36.01326,-78.97248,1
52.13713,6.10555,1
52.09198,4.33657,1
44.08194,-69.62392,1
44.09592,-69.62419,1
44.90731,-85.93015,1
44.03089,-73.08829,1
52.3071,6.99393,1
35.68722,-83.50016,1
51.8109,3.91792,1
43.95173,-79.41486,1
43.4615,-72.4542,1
44.86117,-73.28829,1
43.8817,-72.37112,1
43.31468,-72.99131,1
52.00883,5.73479,1
43.5162,-72.96574,1
45.96643,-60.45907,1
41.80988,-72.25944,1
52.00883,5.73479,1
44.35198,-73.00643,1
40.70391,-74.05664,1
47.35508,-91.27879,1
44.70905,-93.34056,1
40.70258,-74.05652,1
46.78213,-71.2562,1
52.02273,5.73436,1
51.54894,5.3348,1
40.70182,-74.05511,1
40.70082,-74.05346,1
44.30713,-72.52141,1
40.70184,-74.05501,1
51.50463,4.48044,1
52.26082,4.54159,1
51.58633,6.02317,1
40.70079,-74.05352,1
51.58633,6.02317,1
40.70203,-74.05565,1
40.70258,-74.05656,1
40.70169,-74.05475,1
40.70083,-74.05352,1
40.70234,-74.05585,1
51.50776,4.47865,1
45.60474,-64.98543,1
51.47716,4.38583,1
44.37678,-64.86666,1
40.70082,-74.05347,1
51.47689,4.38555,1
40.70214,-74.05567,1
52.75506,6.65183,1
40.7005,-74.054,1
51.58188,4.69575,1
51.55074,5.33393,1
52.02273,5.73436,1
51.56422,5.33507,1
40.70231,-74.05595,1
41.41462,-73.95854,1
44.13886,-73.22688,1
51.55074,5.33393,1
46.6527,-60.94503,1
52.96133,6.25508,1
43.47129,-73.20287,1
52.82105,6.43714,1
44.13876,-73.0684,1
40.47898,-74.43564,1
44.02325,-72.17451,1
44.14065,-73.06814,1
44.58819,-73.18785,1
44.61319,-73.21354,1
40.478,-74.43294,1
44.54907,-73.00794,1
43.4687,-73.19157,1
40.51554,-74.44025,1
44.25842,-72.56393,1
44.26483,-72.57495,1
44.60189,-79.48288,1
44.26114,-72.55889,1
44.28001,-72.56247,1
44.27533,-72.56509,1
44.26702,-72.57317,1
50.80593,5.74376,1
41.70125,-72.47934,1
44.58365,-72.59999,1
44.21549,-72.56447,1
44.29108,-72.55284,1
44.16214,-73.05098,1
44.26541,-72.57788,1
44.2768,-72.56514,1
44.27843,-72.65602,1
44.18756,-72.20915,1
39.04591,-78.54341,1
44.19136,-72.17168,1
44.193,-72.16989,1
44.19696,-72.16236,1
44.19905,-72.17184,1
44.19811,-72.17161,1
44.25743,-72.57902,1
44.19044,-72.17502,1
44.27267,-72.27984,1
44.17926,-72.59092,1
41.39484,-81.89772,1
44.33368,-72.34537,1
44.19618,-72.15839,1
44.1953,-72.17113,1
44.44159,-73.17288,1
44.33142,-72.68978,1
44.32791,-72.68786,1
44.32925,-72.68915,1
44.33261,-72.68998,1
41.83849,-87.79936,1
43.57306,-72.38654,1
44.44108,-73.17037,1
44.33515,-72.68984,1
44.32559,-72.68702,1
44.18171,-72.59458,1
44.17906,-72.59082,1
43.24635,-73.02192,1
43.61641,-72.99168,1
43.24665,-73.02372,1
44.3937,-73.10535,1
43.62546,-73.00255,1
44.54267,-73.28263,1
44.39545,-73.10163,1
41.70582,-88.57401,1
44.18301,-72.50383,1
44.19152,-72.50227,1
44.19226,-72.50242,1
44.47297,-72.71753,1
52.04758,4.32178,1
44.40999,-73.11019,1
44.41008,-73.1057,1
44.35007,-72.89854,1
44.45584,-73.22724,1
52.31372,5.65039,1
52.31372,5.65039,1
44.37724,-73.16245,1
52.31372,5.65039,1
44.35093,-72.89847,1
44.12912,-73.06818,1
44.35185,-72.89889,1
44.3497,-72.89647,1
52.32622,5.72393,1
44.29534,-72.68065,1
52.18869,6.26763,1
40.42952,-80.01981,1
44.26134,-72.53046,1
40.96493,-73.96522,1
44.4113,-73.24146,1
40.42926,-80.01969,1
44.39562,-73.10349,1
52.08839,6.11103,1
51.38036,6.09059,1
52.18869,6.26763,1
43.84231,-72.65817,1
44.2845,-72.08492,1
44.26444,-72.56323,1
52.1425,6.02349,1
43.94424,-73.07355,1
51.37608,6.08859,1
52.1444,6.02194,1
52.1425,6.02349,1
52.13932,6.01882,1
43.63361,-72.52195,1
51.37406,6.08443,1
51.38118,6.08654,1
51.37708,6.08708,1
51.37746,6.08854,1
52.14158,6.01905,1
52.1423,6.01961,1
52.30464,5.7113,1
43.63639,-72.40613,1
52.14413,6.01941,1
51.37761,6.09111,1
51.37746,6.08854,1
52.14063,6.01583,1
52.14227,6.0237,1
51.38377,6.08809,1
43.3671,-72.96706,1
52.13978,6.02689,1
51.37521,6.08572,1
52.14114,6.01502,1
52.1413,6.03271,1
52.32758,5.69648,1
52.1401,6.0266,1
51.37969,6.08752,1
43.63757,-72.40905,1
52.1425,6.02349,1
52.13978,6.02689,1
51.37598,6.09209,1
51.97639,6.66347,1
51.3771,6.08901,1
52.14283,6.01786,1
51.37708,6.08708,1
51.38377,6.08809,1
51.37527,6.08784,1
51.37746,6.08854,1
51.38049,6.09031,1
43.36321,-72.97434,1
51.38377,6.08809,1
52.14063,6.01583,1
52.1401,6.0266,1
52.24536,5.6411,1
52.1425,6.02349,1
51.38411,6.09043,1
52.14114,6.01502,1
51.37608,6.08859,1
51.38362,6.08699,1
51.37527,6.08784,1
51.38049,6.09031,1
52.13932,6.01882,1
51.38307,6.09002,1
51.38123,6.09051,1
52.14227,6.0237,1
51.37965,6.08873,1
52.14081,6.02407,1
52.13978,6.02689,1
